R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Womens Flyweight_rank,R_Womens Featherweight_rank,R_Womens Strawweight_rank,R_Womens Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Womens Flyweight_rank,B_Womens Featherweight_rank,B_Womens Strawweight_rank,B_Womens Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,fight_id
Brian Kelleher,Montel Jackson,155,-175,155,57.14285714,12/29/2018,"Los Angeles, California, USA", USA,Blue,FALSE,Bantamweight,MALE,3,1,0,0,42,0.44,0,2,1,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,190.5,135,1,0,0,47,0.422,0.4,0.8,0.348,2,2,11,0,0,0,1,1,1,0,3,Switch,167.64,167.64,135,32,26,0,0,-2,-3,1,-8,0,-1,-1,10.16,22.86,6,-5,-0.4,1.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke,1,1:40,100,275,150,600,1000,800,350,3555
Kevin Lee,Al Iaquinta,-335,275,29.85074627,275,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Lightweight,MALE,5,1,0,0,47.81818182,0.441818182,0.272727273,0.727272727,0.234545455,5,3,28,2,0,1,3,4,0,0,8,Orthodox,177.8,177.8,155,0,1,0,45,0.458461538,0.846153846,2.461538462,0.443846154,5,3,31,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,26,31,-1,-1,0,-2,0,-3,1,2,-4,2.54,-17.78,-5,2.81818182,-0.573426573,-1.734265735,0,1,8,4,,,,,,,,,4,,,,,,,,,,,,,8,,,,,Red,U-DEC,,5,5:00,1500,300,700,130,1200,400,500,3554
Edson Barboza,Dan Hooker,-105,-115,95.23809524,86.95652174,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Red,FALSE,Lightweight,MALE,3,0,4,0,33.5,0.475,0.3,0.3,0.099,4,3,20,0,0,0,0,5,2,0,7,Switch,182.88,190.5,155,2,0,0,41.21052632,0.443157895,0.052631579,0.368421053,0.192631579,4,6,48,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,32,28,2,4,0,-6,3,-28,0,-1,2,2.54,0,4,-7.71052632,0.247368421,-0.068421053,0,1,14,5,,,,,,,,,5,,,,,,,,,,,,,14,,,,,Red,KO/TKO,Punches,3,2:19,739,250,360,1400,600,350,250,3553
Rob Font,Sergio Pettis,-165,145,60.60606061,145,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,54.33333333,0.374166667,0.416666667,0.916666667,0.273333333,4,4,37,0,0,1,7,0,0,0,8,Orthodox,167.64,175.26,135,1,0,0,36.375,0.43875,0.5,0.625,0.25375,2,3,15,0,0,0,0,4,1,0,5,Orthodox,172.72,180.34,135,31,25,0,0,2,3,-1,22,0,-4,-1,-5.08,-5.08,6,17.95833333,-0.083333333,0.291666667,0,1,,10,,,,,,,,,,,10,,,,,,,,,,,,,,2,,Red,U-DEC,,3,5:00,900,200,200,850,1400,240,1200,3552
Jim Miller,Charles Oliveira,255,-310,255,32.25806452,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,21.19047619,0.507142857,1.285714286,1.333333333,0.428095238,4,9,39,0,0,0,1,0,11,0,12,Orthodox,177.8,187.96,155,0,1,0,29.5,0.382666667,1.333333333,1.2,0.436666667,7,12,70,0,0,2,6,3,7,0,18,Southpaw,172.72,180.34,155,35,29,0,1,-3,-6,3,-31,0,-3,4,5.08,7.62,6,-8.30952381,-0.047619047,0.133333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,1:15,75,750,450,700,-125,750,650,3551
Zak Ottow,Dwight Grant,230,-270,230,37.03703704,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Red,FALSE,Welterweight,MALE,3,0,0,0,,0.36,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,185.42,193.04,170,1,0,0,29.83333333,0.386666667,0.333333333,0.5,0.151666667,1,3,13,0,0,2,0,1,0,0,3,Orthodox,180.34,182.88,170,31,34,1,0,-1,-3,3,-13,0,-1,0,5.08,10.16,-3,-29.83333333,-0.333333333,-0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,440,400,875,900,1175,-110,3550
Bobby Green,Drakkar Klose,210,-250,210,40,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,54,0.52,0,1.666666667,0.51,1,1,9,0,0,0,2,0,0,0,2,Orthodox,175.26,177.8,155,0,1,0,61.88888889,0.475555556,0.111111111,0.666666667,0.225555556,4,4,23,0,0,1,2,1,1,0,5,Orthodox,177.8,180.34,155,32,30,0,0,-3,-3,3,-14,0,-1,-1,-2.54,-2.54,2,-7.88888889,-0.111111111,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,310,-140,1625,1515,1260,450,3549
Jared Gordon,Joaquim Silva,-115,-105,86.95652174,95.23809524,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,35,0.445,0.25,0,0,3,1,10,0,0,2,0,1,0,0,3,Southpaw,172.72,175.26,155,1,0,0,58.66666667,0.5,0,2,0.313333333,2,1,6,0,0,0,1,1,0,0,2,Orthodox,175.26,172.72,155,30,29,0,0,1,1,0,4,0,0,0,-2.54,2.54,1,-23.66666667,0.25,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3,2:39,759,185,315,715,1185,565,285,3548
Gerald Meerschaert,Jack Hermansson,130,-150,130,66.66666667,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,33.83333333,0.52,0.166666667,1,0.526666667,2,2,11,0,0,0,1,3,0,0,4,Orthodox,185.42,195.58,185,0,2,0,23.8,0.466,0.8,1.2,0.224,2,1,8,0,0,0,0,1,3,0,4,Southpaw,185.42,195.58,185,30,30,0,-1,0,0,-1,3,0,2,-3,0,0,0,10.03333333,-0.633333333,-0.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1,4:25,265,660,250,240,840,580,180,3547
Trevor Smith,Zak Cummings,270,-330,270,30.3030303,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,25.88888889,0.333333333,0.666666667,0.777777778,0.243333333,2,3,19,0,0,0,2,1,3,0,6,Southpaw,182.88,190.5,185,1,0,0,42.5,0.552,0.6,1.6,0.255,2,5,26,0,0,1,4,0,0,0,5,Orthodox,190.5,190.5,185,37,34,0,0,0,1,2,-7,0,1,3,-7.62,0,3,-16.61111111,0.066666667,-0.822222222,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,400,160,1390,310,1445,325,3546
Dan Ige,Jordan Griffin,-165,145,60.60606061,145,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,0.46,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,145,0,1,0,30,0.61,0,1,0.535,1,1,4,0,0,0,0,1,0,0,1,Orthodox,170.18,180.34,145,27,28,0,-1,-1,-1,1,-4,0,-1,0,7.62,2.54,-1,-30,0,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,265,400,250,585,420,610,3545
Adam Milstead,Mike Rodriguez,-110,-110,90.90909091,90.90909091,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Light Heavyweight,MALE,3,1,0,0,40,0.6,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,193.04,208.28,205,2,0,0,39,0.643333333,0,0,0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,31,30,1,0,-1,-1,1,-4,0,-1,0,2.54,15.24,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1,2:59,179,275,500,1105,850,260,245,3544
Chris de la Rocha,Juan Adams,375,-470,375,21.27659574,12/15/2018,"Milwaukee, Wisconsin, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,0,0,,0.55,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265,0,1,0,26.66666667,0.323333333,0.666666667,1,0.25,1,2,5,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,250,39,26,0,-1,-1,-1,2,-5,0,-1,0,5.08,0,13,-26.66666667,-0.666666667,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,3,0:58,658,1265,715,1450,800,580,-210,3543
Max Holloway,Brian Ortega,-110,-110,90.90909091,90.90909091,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,TRUE,Featherweight,MALE,5,0,6,0,35.57142857,0.347142857,1.142857143,0.142857143,0.047142857,6,1,16,0,0,0,0,3,3,0,6,Switch,172.72,175.26,145,0,12,0,74.27777778,0.431666667,0.388888889,0.222222222,0.166666667,12,3,46,3,0,1,4,8,2,0,15,Orthodox,180.34,175.26,155,27,27,0,-6,-6,-9,2,-30,-3,-5,1,-7.62,0,0,-38.70634921,0.753968254,-0.079365079,0,1,1,0,,,,,,,,,,0,,,5,,,,,,,,,,1,,,,Red,KO/TKO,,4,5:00,1200,175,350,1600,200,350,400,3542
Valentina Shevchenko,Joanna Jedrzejczyk,-300,250,33.33333333,250,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,TRUE,Women's Flyweight,FEMALE,5,0,1,0,115.1818182,0.425454545,0,0.181818182,0.136363636,8,2,40,8,0,1,6,2,0,0,9,Orthodox,167.64,165.1,125,0,1,0,54.5,0.595,0.5,2,0.643333333,2,2,20,1,0,1,1,0,2,0,4,Southpaw,165.1,167.64,125,30,31,0,0,6,5,0,20,7,2,-2,2.54,-2.54,-1,60.6818182,-0.5,-1.818181818,0,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,Red,U-DEC,,5,5:00,1500,100,350,400,2200,400,1200,3541
Alex Oliveira,Gunnar Nelson,135,-155,135,64.51612903,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Welterweight,MALE,3,1,0,0,18.3,0.63,0.7,1,0.625,4,3,21,0,0,0,1,0,6,0,7,Switch,180.34,182.88,170,0,2,0,26.15384615,0.506923077,0.538461538,2,0.288461538,3,4,28,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170,30,30,-1,-2,1,-2,1,-7,0,-4,3,0,-10.16,0,-7.85384615,0.161538462,-1,0,1,14,13,,,,,,,,13,,,,,,,,,,,,,14,,,,,,Red,SUB,Rear Naked Choke,2,4:17,557,450,550,1200,140,240,600,3540
Hakeem Dawodu,Kyle Bochniak,-200,170,50,170,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Featherweight,MALE,3,1,0,0,38.4,0.324,0,1,0.146,1,3,15,0,0,1,1,0,0,0,2,Orthodox,170.18,177.8,145,0,1,0,39,0.72,0,0,0,1,1,4,0,0,0,1,0,0,0,1,Orthodox,172.72,185.42,145,27,31,-1,-1,0,1,-2,11,0,0,0,-2.54,-7.62,-4,-0.6,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,140,225,1400,1200,275,900,3539
Jimi Manuwa,Thiago Santos,160,-185,160,54.05405405,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE,3,0,2,0,31.5625,0.45875,0.0625,0.375,0.15125,4,5,27,0,0,0,2,9,0,0,11,Orthodox,187.96,193.04,205,2,0,0,26,0.527,0.2,0.3,0.1,3,4,19,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,38,34,2,2,1,5,-1,8,0,4,0,2.54,-7.62,4,5.5625,-0.1375,0.075,0,1,,7,,,,,,7,,,,,,,,,,,,,,15,,,,,,,Red,KO/TKO,Punch,2,0:41,341,800,600,2500,2200,180,-125,3538
Claudia Gadelha,Nina Ansaroff,-310,255,32.25806452,255,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Women's Strawweight,FEMALE,3,0,3,0,71,0.474,0.8,0.4,0.3,3,2,15,0,0,0,2,0,1,0,3,Orthodox,165.1,162.56,115,0,1,0,47.625,0.4025,1,3.875,0.6075,2,3,24,1,0,1,3,0,1,0,5,Orthodox,162.56,160.02,115,30,33,0,2,1,-2,1,-9,-1,0,0,2.54,2.54,-3,23.375,-0.2,-3.475,0,1,11,3,,,3,,,,,,,,,,,,,11,,,,,,,,,,,Red,U-DEC,,3,5:00,900,-155,,425,,1040,,3537
Olivier Aubin-Mercier,Gilbert Burns,-135,115,74.07407407,115,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Lightweight,MALE,3,1,0,0,26.77777778,0.416666667,0.555555556,1.444444444,0.456666667,3,3,19,0,0,0,1,2,3,0,6,Orthodox,177.8,180.34,155,1,0,0,30,0.543,0.5,2.3,0.289,4,3,26,1,0,1,1,1,4,0,7,Southpaw,175.26,177.8,155,29,32,0,0,-1,-1,0,-7,-1,1,-1,2.54,2.54,-3,-3.22222222,0.055555556,-0.855555556,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,118,390,920,395,1100,525,3536
Katlyn Chookagian,Jessica Eye,-235,195,42.55319149,195,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Women's Flyweight,FEMALE,3,0,2,0,48,0.396666667,0.777777778,0.555555556,0.25,2,6,26,0,0,1,1,0,0,1,3,Orthodox,167.64,167.64,125,0,3,0,60.4,0.29,0.2,0,0,3,1,15,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,29,32,0,-1,-1,-1,-5,11,0,1,0,-7.62,-5.08,-3,-12.4,0.577777778,0.555555556,0,1,9,3,3,,,,,,,,,,,,,9,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,-135,243,720,1458,1350,1270,3535
Elias Theodorou,Eryk Anders,-125,105,80,105,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Middleweight,MALE,3,1,0,0,41.6,0.536,0.2,2.4,0.374,2,2,15,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,185,0,2,0,54.11111111,0.415555556,0,1.444444444,0.295555556,3,2,25,1,0,0,5,2,0,0,7,Orthodox,185.42,190.5,185,30,31,-1,-2,-1,-4,0,-10,-1,0,0,0,0,-1,-12.51111111,0.2,0.955555556,0,1,,14,,,,,,,14,,,,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,135,230,1100,1700,796,425,3534
Brad Katona,Matthew Lopez,-160,140,62.5,140,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Bantamweight,MALE,3,2,0,0,28.6,0.536,1,2.2,0.7,2,3,12,0,0,0,1,1,0,0,2,Southpaw,170.18,175.26,135,0,1,0,71,0.63,0,2,0.28,1,0,3,1,0,0,1,0,0,0,1,Orthodox,167.64,162.56,135,26,31,-2,-1,1,1,-3,9,-1,1,0,2.54,12.7,-5,-42.4,1,0.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,181,230,400,825,506,1250,3533
Chad Laprise,Dhiego Lima,-400,325,25,325,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Welterweight,MALE,3,4,0,0,17.16666667,0.52,0.666666667,1,0.125,1,5,11,2,0,0,1,0,0,0,1,Orthodox,187.96,187.96,170,1,0,0,44.66666667,0.442222222,0,0.666666667,0.285555556,3,3,19,1,0,1,2,3,0,0,6,Orthodox,177.8,180.34,170,32,29,-3,0,-2,-5,-2,-8,1,-3,0,10.16,7.62,3,-27.5,0.666666667,0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:37,97,230,500,1167,1397,-105,1050,3532
Diego Ferreira,Kyle Nelson,-550,425,18.18181818,425,12/8/2018,"Toronto, Ontario, Canada", Canada,Red,FALSE,Lightweight,MALE,3,0,0,0,,0.36,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,180.34,155,0,2,0,27.83333333,0.423333333,0.5,0.166666667,0.166666667,2,2,11,0,0,0,1,2,1,0,4,Orthodox,175.26,187.96,155,33,27,0,-2,-2,-4,2,-11,0,-2,-1,5.08,-7.62,6,-27.83333333,-0.5,-0.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,1:23,383,275,550,160,140,250,600,3531
Devin Clark,Aleksandar Rakic,435,-570,435,17.54385965,12/8/2018,"Toronto, Ontario, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE,3,0,2,0,75,0.51,0,1.5,0.375,2,0,6,0,0,0,2,0,0,0,2,Orthodox,193.04,198.12,205,0,1,0,38.8,0.582,0.2,2.6,0.472,2,2,12,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205,28,26,0,1,0,-1,2,-6,0,0,0,10.16,7.62,2,36.2,-0.2,-1.1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Fist,1,4:05,245,574,237,2390,619,1700,-130,3530
Junior Dos Santos,Tai Tuivasa,-160,140,62.5,140,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Heavyweight,MALE,5,0,3,0,38,0.6,0,0,0,3,0,5,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,0,1,0,59.35294118,0.520588235,0.058823529,0.294117647,0.205882353,9,4,47,5,0,0,5,8,0,0,13,Orthodox,193.04,195.58,238,34,25,0,2,-6,-10,4,-42,-5,-6,0,-5.08,-5.08,9,-21.35294118,-0.058823529,-0.294117647,0,1,11,7,,,,,7,,,,,,,,,,,,,11,,,,,,,,,Red,KO/TKO,Punches,2,2:30,450,275,950,1000,1800,175,180,3529
Mauricio Rua,Tyson Pedro,415,-525,415,19.04761905,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,15.8,0.612,0.6,0.4,0.2,2,2,7,0,0,0,0,1,2,0,3,Orthodox,190.5,200.66,205,1,0,0,38.77777778,0.499444444,0.222222222,1.166666667,0.215,3,9,45,3,0,1,1,7,0,0,9,Orthodox,185.42,193.04,205,37,27,0,0,-1,-6,7,-38,-3,-6,2,5.08,7.62,10,-22.97777778,0.377777778,-0.766666667,0,1,14,13,,,,,,13,,,,,,,,,,,,,14,,,,,,,,Red,KO/TKO,Punches,3,0:43,643,800,450,1200,225,650,130,3528
Mark Hunt,Justin Willis,-110,-110,90.90909091,90.90909091,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Heavyweight,MALE,3,0,3,0,50,0.586666667,0,1.333333333,0.416666667,3,0,7,0,0,0,2,1,0,0,3,Southpaw,185.42,198.12,264,2,0,0,27.05882353,0.417058824,0.058823529,0.411764706,0.2,4,9,43,1,0,0,1,7,0,0,8,Orthodox,177.8,182.88,265,44,31,2,3,-1,-5,9,-36,-1,-6,0,7.62,15.24,13,22.94117647,-0.058823529,0.921568627,0,1,15,10,,,,,10,,,,,,,,,,,,,15,,,,,,,,,Red,U-DEC,,3,5:00,900,700,260,1600,1000,145,250,3527
Jake Matthews,Anthony Rocco Martin,-150,130,66.66666667,130,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Welterweight,MALE,3,0,2,0,33.6,0.388,1,0.8,0.248,3,4,26,0,0,0,3,1,2,0,6,Orthodox,182.88,185.42,170,0,3,0,31,0.462,0.6,1.7,0.455,3,3,22,0,0,1,1,0,4,1,7,Orthodox,180.34,185.42,170,24,28,0,-1,0,-1,-1,4,0,0,-2,2.54,0,-4,2.6,0.4,-0.9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,3,1:19,679,240,165,450,1000,650,750,3526
Suman Mokhtarian,Sodiq Yusuff,450,-600,450,16.66666667,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Featherweight,MALE,3,0,0,0,,0.49,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,170.18,145,26,25,0,0,0,0,0,0,0,0,0,-2.54,10.16,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:14,134,700,275,800,1200,1600,-190,3525
Jimmy Crute,Paul Craig,-290,245,34.48275862,245,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Light Heavyweight,MALE,3,0,1,0,19.5,0.5175,1,0.75,0.195,1,2,7,0,0,0,0,0,2,0,2,Orthodox,190.5,193.04,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,205,22,31,0,1,1,2,-2,7,0,0,2,2.54,5.08,-9,19.5,1,0.75,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kimura,3,4:51,891,375,675,800,450,100,1200,3524
Yushin Okami,Aleksei Kunchenko,250,-300,250,33.33333333,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Welterweight,MALE,3,0,1,0,44,0.28,0,1,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,177.8,170,0,1,0,25.15,0.3835,0.45,1.65,0.368,4,6,52,1,0,2,7,4,0,1,14,Southpaw,187.96,190.5,170,37,34,0,0,-3,-13,6,-49,-1,-5,0,-15.24,-12.7,3,18.85,-0.45,-0.65,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,365,185,1450,1400,1415,145,3523
Wilson Reis,Ben Nguyen,125,-145,125,68.96551724,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Flyweight,MALE,3,1,0,0,28.5,0.451666667,0.666666667,0.166666667,0.166666667,2,2,11,0,0,0,1,1,2,0,4,Switch,165.1,165.1,125,3,0,0,21.63636364,0.325454545,0.454545455,3.909090909,0.397272727,3,5,28,1,0,0,4,0,2,0,6,Southpaw,162.56,165.1,125,33,30,2,0,-1,-2,3,-17,-1,1,0,2.54,0,3,6.86363636,0.212121212,-3.742424242,0,1,10,8,,,,,,,,,,,,8,,,,,,,,,,,,,10,,Red,U-DEC,,3,5:00,900,300,171,360,1000,1325,320,3522
Keita Nakamura,Salim Touahri,-155,135,64.51612903,135,12/1/2018,"Adelaide, South Australia, Australia", Australia,Red,FALSE,Welterweight,MALE,3,1,0,0,35,0.47,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,29.66666667,0.354444444,0.444444444,2,0.525555556,1,6,26,0,0,1,0,0,2,0,3,Southpaw,180.34,185.42,170,34,29,0,0,-1,-3,5,-23,0,0,-2,-2.54,-2.54,5,5.33333333,-0.444444444,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,166,202,300,1980,1075,971,3521
Elias Garcia,Kai Kara-France,300,-360,300,27.77777778,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Flyweight,MALE,3,0,0,0,,0.41,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,125,1,0,0,19,0.35,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Southpaw,165.1,170.18,125,26,25,1,0,0,0,1,-2,0,0,0,0,5.08,1,-19,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,650,,770,,1110,,3520
Mizuto Hirota,Christos Giagos,310,-370,310,27.02702703,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Lightweight,MALE,3,2,0,0,17,0.3425,0.25,0.25,0.25,1,3,7,0,0,0,0,0,1,0,1,Orthodox,177.8,180.34,155,2,0,0,58,0.38,0,1.5,0.375,1,5,18,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,155,37,28,0,0,0,0,2,-11,0,0,1,7.62,10.16,9,-41,0.25,-1.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,448,-142,1555,710,1345,451,3519
Alex Gorgees,Damir Ismagulov,425,-550,425,18.18181818,12/1/2018,"Adelaide, South Australia, Australia", Australia,Blue,FALSE,Lightweight,MALE,3,0,0,0,,0.43,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,188,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,187.96,187.96,155,23,27,0,0,0,0,0,0,0,0,0,-10.16,0.04,-4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,655,244,1545,450,1380,121,3518
Rafael Dos Anjos,Kamaru Usman,270,-330,270,30.3030303,11/30/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,5,0,8,0,49.625,0.52,0.25,3.5,0.36625,8,0,23,1,0,0,6,1,1,0,8,Switch,182.88,193.04,170,1,0,0,47.36,0.4492,0.56,1.8,0.3084,5,8,69,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170,34,31,1,8,3,-9,8,-46,-3,-3,-2,10.16,15.24,3,2.265,-0.31,1.7,0,1,5,3,,,,,,,,3,,,,,,,,,,,,,5,,,,,,Red,U-DEC,,5,5:00,1500,600,-136,751,1050,705,350,3517
